name,ingredients,method
Cottage pie,"[{""""ing_group"""":""3 tbsp olive oil""},{""""ing_group"""":""1 ¼kg beef mince""},{""""ing_group"""":""2 onions, finely chopped""},{""""ing_group"""":""3 carrots, chopped""},{""""ing_group"""":""3 celery sticks, chopped""},{""""ing_group"""":""2 garlic cloves, finely chopped""},{""""ing_group"""":""3 tbsp plain flour""},{""""ing_group"""":""1 tbsp tomato purée""},{""""ing_group"""":""large glass red wine (optional)""},{""""ing_group"""":""850ml beef stock""},{""""ing_group"""":""4 tbsp Worcestershire sauce""},{""""ing_group"""":""few thyme sprigs""},{""""ing_group"""":""2 bay leaves""},{""""ing_group"""":""1.8kg potatoes, chopped""},{""""ing_group"""":""225ml milk""},{""""ing_group"""":""25g butter""},{""""ing_group"""":""200g strong cheddar, grated""},{""""ing_group"""":""freshly grated  nutmeg""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat 1 tbsp olive oil in a large saucepan and fry 1¼ kg beef mince until browned – you may need to do this in batches. Set aside as it browns.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Put the other 2 tbsp olive oil into the pan, add 2 finely chopped onions, 3 chopped carrots and 3 chopped celery sticks and cook on a gentle heat until soft, about 20 mins.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Add 2 finely chopped garlic cloves, 3 tbsp plain flour and 1 tbsp tomato purée, increase the heat and cook for a few mins, then return the beef to the pan.""},{""""meth_group"""":""STEP 4""},{""""meth_group"""":""Pour over a large glass of red wine, if using, and boil to reduce it slightly before adding the 850ml beef stock, 4 tbsp Worcestershire sauce, a few thyme sprigs and 2 bay leaves.""},{""""meth_group"""":""STEP 5""},{""""meth_group"""":""Bring to a simmer and cook, uncovered, for 45 mins. By this time the gravy should be thick and coating the meat. Check after about 30 mins – if a lot of liquid remains, increase the heat slightly to reduce the gravy a little. Season well, then discard the bay leaves and thyme stalks.""},{""""meth_group"""":""STEP 6""},{""""meth_group"""":""Meanwhile, make the mash. In a large saucepan, cover the 1.8kg potatoes which you've peeled and chopped, in salted cold water, bring to the boil and simmer until tender.""},{""""meth_group"""":""STEP 7""},{""""meth_group"""":""Drain well, then allow to steam-dry for a few mins. Mash well with the 225ml milk, 25g butter, and three-quarters of the 200g strong cheddar cheese, then season with freshly grated nutmeg and some salt and pepper.""},{""""meth_group"""":""STEP 8""},{""""meth_group"""":""Spoon the meat into 2 ovenproof dishes. Pipe or spoon on the mash to cover. Sprinkle on the remaining cheese.""},{""""meth_group"""":""STEP 9""},{""""meth_group"""":""If eating straight away, heat oven to 220C/200C fan/gas 7 and cook for 25-30 mins, or until the topping is golden.""},{""""meth_group"""":""STEP 10""},{""""meth_group"""":""If you want to use a slow cooker, brown your mince in batches then tip into your slow cooker and stir in the vegetables, flour, purée, wine, stock, Worcestershire sauce and herbs with some seasoning. Cover and cook on High for 4-5 hours. Make the mash following the previous steps, and then oven cook in the same way to finish.""}]"
Bean & sausage hotpot,"[{""""ing_group"""":""8 large sausages (course-cut ones like Toulouse or Cumberland are ideal)""},{""""ing_group"""":""¼ quantity tomato sauce (see 'Goes well with')""},{""""ing_group"""":""3 x 400g/14oz cans butter beans""},{""""ing_group"""":""1 tbsp black treacle or muscovado sugar""},{""""ing_group"""":""1 tsp English mustard""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""In a large casserole, fry the sausages until brown all over – about 10 mins.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Add the tomato sauce, stirring well, then stir in the beans, treacle or sugar and mustard. Bring to the simmer, cover and cook for 30 mins. Great served with crusty bread or rice.""}]"
One-pot sausage casserole with garlic breadcrumbs,"[{""""ing_group"""":""3 tbsp olive oil, plus an extra drizzle (optional)""},{""""ing_group"""":""8 large pork sausages""},{""""ing_group"""":""1 onion, finely sliced""},{""""ing_group"""":""sprinkle of golden caster sugar""},{""""ing_group"""":""1 tbsp red wine vinegar""},{""""ing_group"""":""1 tbsp tomato purée""},{""""ing_group"""":""½ tsp smoked paprika""},{""""ing_group"""":""400g can chopped tomatoes""},{""""ing_group"""":""100ml red wine""},{""""ing_group"""":""2 bay leaves""},{""""ing_group"""":""400g can butter beans, drained but not rinsed""},{""""ing_group"""":""50g fresh breadcrumbs""},{""""ing_group"""":""2 garlic cloves, finely grated""},{""""ing_group"""":""handful of parsley leaves, roughly chopped""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat the oven to 220C/200C fan/gas 7. Heat 1 tbsp of the oil in a shallow ovenproof casserole over a medium heat and gently fry the sausages for 5-8 mins, or until brown on all sides. Transfer to a plate using tongs. Tip the onions into the pan and fry for 5-8 mins until beginning to turn golden. Drizzle in a little more oil if the onions start to stick. Sprinkle in the sugar and cook for a minute before stirring in the vinegar, tomato purée and paprika to form a paste. Tip in the tomatoes, then pour the wine into the tomato can, swish it round, and add to the pan. Stir in the bay leaves and beans, then arrange the sausages on top so they’re half-submerged in the sauce but still a little exposed.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Bring the mixture to a simmer, then bake in the oven for 20 mins. Meanwhile, make the topping. Mix the breadcrumbs with the garlic and parsley, then season and stir in 1 tbsp oil. Scatter the topping over the casserole, then drizzle with the remaining 1 tbsp oil and bake for 10 mins more until the breadcrumbs are golden and crisp. Leave to stand for a few minutes, then take to the table and serve from the dish.""}]"
Sticky toffee apple pudding,"[{""""ing_group"""":""85g butter, melted""},{""""ing_group"""":""140g self-raising flour""},{""""ing_group"""":""100g golden caster sugar""},{""""ing_group"""":""1 tbsp baking powder""},{""""ing_group"""":""200ml milk""},{""""ing_group"""":""1 egg, beaten""},{""""ing_group"""":""1 tsp vanilla extract""},{""""ing_group"""":""2 Bramley apples  (or other cooking) apples, peeled, cored and sliced""},{""""ing_group"""":""140g dark brown sugar""},{""""ing_group"""":""50g pecan, roughly chopped""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat oven to 180C/fan 160C/gas 4. Grease a 2-litre/3½-pint ovenproof dish lightly with butter. Tip the flour, sugar and baking powder, along with a pinch of salt, into a large bowl. Mix together the milk, butter, egg and vanilla extract and stir into the dry ingredients until you get a smooth batter. Arrange the apples in the dish, spoon the batter on top and smooth with a knife until the apples are covered.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""For the topping, pour 250ml boiling water over the sugar and stir together until smooth. Pour the liquid over the pudding mixture, then scatter over the pecans. Bake for about 40 mins until the pudding has risen and is golden. Use a big spoon to serve the pudding, making sure you get some of the gooey caramel sauce covering the bottom of the dish. Serve with pouring cream, warm custard or vanilla ice cream.""}]"
Rigatoni sausage bake,"[{""""ing_group"""":""400g good quality pork sausage""},{""""ing_group"""":""1 tbsp olive oil""},{""""ing_group"""":""1 onion, chopped""},{""""ing_group"""":""1 large carrot, grated""},{""""ing_group"""":""150ml red wine""},{""""ing_group"""":""300ml vegetable stock""},{""""ing_group"""":""3 tbsp tomato purée""},{""""ing_group"""":""50g butter""},{""""ing_group"""":""50g plain flour""},{""""ing_group"""":""600ml milk""},{""""ing_group"""":""freshly grated nutmeg""},{""""ing_group"""":""500g rigatoni or penne""},{""""ing_group"""":""200g fresh spinach""},{""""ing_group"""":""140g mature cheddar, grated""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Slit the sausages and remove them from their skins, then chop them into small pieces. Heat the oil in a pan, add the onion and fry for 5 minutes, until softened and lightly browned. Stir in the sausages and fry until lightly coloured. Add the carrot, then stir in the wine, stock, tomato purée, and season.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Bring to the boil, then simmer uncovered for about 15 minutes until thickened. Taste and season. Set aside.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Put the butter, flour and milk in a pan. Gently heat, whisking, until thickened and smooth. Add a sprinkle of freshly grated nutmeg, season, then simmer for 2 minutes.""},{""""meth_group"""":""STEP 4""},{""""meth_group"""":""Preheat the oven to 190C/Gas 5/fan 170C. Bring a large pan of salted water to the boil. Add the pasta, stir well, then cook, uncovered, for 10-12 minutes, until tender. Remove from the heat, stir in the spinach and, when just wilted, drain well.""},{""""meth_group"""":""STEP 5""},{""""meth_group"""":""Tip half the pasta into a shallow ovenproof dish, about 2.2 litre/4 pint, and level. Spoon over the sausage sauce, then cover with the remaining pasta. Pour the white sauce evenly over the top and sprinkle with the cheddar. Bake for 20-25 minutes until golden brown. Leave for 5 minutes before serving.""}]"
Sticky pan-roasted sausages with grapes,"[{""""ing_group"""":""1 tbsp olive oil""},{""""ing_group"""":""450g pack good-quality pork sausage""},{""""ing_group"""":""2 onions , sliced""},{""""ing_group"""":""1 garlic clove , sliced""},{""""ing_group"""":""1 tsp fennel seed""},{""""ing_group"""":""100g grape""},{""""ing_group"""":""2 tbsp red wine vinegar""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat the olive oil in a large frying pan set over a medium heat, tip in the sausages, then cook for 10 mins, turning every so often. Stir in the onions, then leave to cook for 5 mins more until the sausages are browned and the onions softened.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Tip in the garlic, fennel seeds and grapes and cook for 5 more mins, stirring often, until the grapes are starting to soften. Pour over the vinegar and swirl around the pan. Cook for a few mins more until the onions are sticky and the sausages cooked through. Serve with soft polenta or mashed potato.""}]"
Next level spaghetti Bolognese,"[{""""ing_group"""":""olive oil""},{""""ing_group"""":""400g beef mince""},{""""ing_group"""":""400g Italian pork sausages, skinned and crumbled""},{""""ing_group"""":""200g smoked pancetta""},{""""ing_group"""":""1 onion, finely chopped""},{""""ing_group"""":""1 carrot, finely chopped""},{""""ing_group"""":""2 celery sticks, finely chopped""},{""""ing_group"""":""4 garlic cloves, chopped""},{""""ing_group"""":""1 sprig thyme""},{""""ing_group"""":""small bunch fresh basil, small leaves picked and reserved""},{""""ing_group"""":""2 bay leaves""},{""""ing_group"""":""2 tsp dried oregano""},{""""ing_group"""":""handful dried porcini mushrooms""},{""""ing_group"""":""1 tsp golden caster sugar""},{""""ing_group"""":""1 tbsp tomato purée""},{""""ing_group"""":""½ tsp Thai fish sauce""},{""""ing_group"""":""1 tbsp red wine vinegar""},{""""ing_group"""":""100ml whole milk""},{""""ing_group"""":""4 x 400g cans chopped tomatoes""},{""""ing_group"""":""200ml white wine""},{""""ing_group"""":""100g parmesan, grated, rind removed and kept""},{""""ing_group"""":""spaghetti, to serve""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat a drizzle of olive oil in a large non-stick frying pan and crumble in the mince and sausagemeat. Spend a good 30 mins cooking the mince – it will release lots of liquid, which you want to evaporate, and then eventually it will end up sizzling in its own fat. If the pan becomes too dry, drizzle in a little more olive oil. Towards the end, continue stirring the mince until it becomes speckled with crisp brown bits.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Heat oven to 140C/120C fan/gas 2. While the mince is browning, heat a drizzle more oil in a casserole dish and sizzle the pancetta for 5 mins until it starts to brown and release its fat, then throw in the vegetables and herbs, and finely crumble over the dried porcini. Cook gently for 5 mins until soft and starting to brown. Sprinkle over the sugar, then stir in the tomato purée and splash in the fish sauce and vinegar. Simmer down until gloopy, then stir through the meat and pour in the milk and tomatoes. Rinse out the tomato tins with the wine and stir into the pan. Season, then nestle in the parmesan rind. Bring to a simmer, then cover and cook in the oven for 3 hrs.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""When cooked, tip as many portions of Bolognese as you need into a sauté pan. Cook the pasta until very al dente, then tong into the pan with a bit of the water and finish cooking with the sauce for 2 mins. Stir through the parmesan and a drizzle more olive oil. Twirl the pasta and Bolognese into bowls, scatter with basil and serve with more parmesan.""}]"
Next level banoffee pie,"[{""""ing_group"""":""262g pack dark chocolate oat biscuits (we used Hobnobs)""},{""""ing_group"""":""65g butter , melted""},{""""ing_group"""":""4 slightly overripe bananas""},{""""ing_group"""":""4 tbsp light brown soft sugar""},{""""ing_group"""":""1 lime , juiced""},{""""ing_group"""":""397g tin Carnation caramel""},{""""ing_group"""":""80g banana chips , crushed""},{""""ing_group"""":""100g smooth peanut butter""},{""""ing_group"""":""100g icing sugar""},{""""ing_group"""":""340ml double cream""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Whizz the biscuits to crumbs in a food processor or put in a strong plastic bag and bash with a rolling pin. Add the butter and whizz again briefly, then tip the buttery crumbs into a 22cm fluted tart tin. Use the back of a spoon to press the crumbs into the tin and up the sides until the whole case is lined. Chill for at least 10 mins.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Heat oven to 200C/180C fan/gas 8. Halve the bananas lengthways and tip into a shallow roasting tray or baking dish. Squeeze over the lime juice, scatter with the brown sugar and bake in the oven for 15-20 mins until caramelised. Leave to cool slightly, then thoroughly mash and spread evenly over the tart base.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Tip the caramel into a saucepan, bring to a simmer and bubble for a few minutes to thicken. Add a pinch of flaky sea salt. Crush the banana chips using a rolling pin on a chopping board. Take the pan off the heat and stir in most of the banana chips, then spread the mixture over the banana layer and put back in the fridge for at least 4 hrs to set.""},{""""meth_group"""":""STEP 4""},{""""meth_group"""":""To make the peanut butter cream, beat the peanut butter with the icing sugar and 140ml of the cream until smooth. Whisk the rest of the cream until it just holds its shape, then fold through the peanut butter cream to ripple. Top the tart with pillows of the whipped cream. Scatter with the rest of the crushed banana chips and serve.""}]"
White velvet soup with smoky almonds,"[{""""ing_group"""":""2 tsp rapeseed oil""},{""""ing_group"""":""2 large garlic cloves , sliced""},{""""ing_group"""":""2 leeks , trimmed so they’re mostly white in colour, washed well, then sliced (about 240g)""},{""""ing_group"""":""200g cauliflower , chopped""},{""""ing_group"""":""2 tsp vegetable bouillon powder""},{""""ing_group"""":""400g cannellini beans , rinsed""},{""""ing_group"""":""fresh nutmeg , for grating""},{""""ing_group"""":""100ml whole milk""},{""""ing_group"""":""25g whole almonds , chopped""},{""""ing_group"""":""½ tsp smoked paprika""},{""""ing_group"""":""2 x 25g slices rye bread , to serve""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat the oil in a large pan. Add the garlic, leeks and cauliflower and cook for about 5 mins, stirring frequently, until starting to soften (but not colouring).""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Stir in the vegetable bouillon and beans, pour in 600ml boiling water and add a few generous gratings of the nutmeg. Cover and leave to simmer for 15 mins until the leeks and cauliflower are tender. Add the milk and blitz with a hand blender until smooth and creamy.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Put the almonds in a dry pan and cook very gently for 1 min, or until toasted, then remove from the heat. Scatter the paprika over the almonds and mix well. Ladle the soup into bowls, top with the spicy nuts and serve with the rye bread.""}]"
Slow-cooker beef goulash,"[{""""ing_group"""":""3 tbsp olive oil""},{""""ing_group"""":""2kg braising or stewing steak, cut into chunks""},{""""ing_group"""":""2 large onions, finely chopped""},{""""ing_group"""":""4 mixed peppers, cut into 4cm chunks""},{""""ing_group"""":""3 garlic cloves, crushed""},{""""ing_group"""":""2 tbsp flour""},{""""ing_group"""":""2 tsp caraway seeds""},{""""ing_group"""":""2 tsp hot smoked paprika""},{""""ing_group"""":""1 tbsp sweet smoked paprika, plus extra to serve""},{""""ing_group"""":""4 tbsp tomato purée""},{""""ing_group"""":""4 large tomatoes cut into small chunks""},{""""ing_group"""":""400-500ml beef stock""},{""""ing_group"""":""300ml soured cream""},{""""ing_group"""":""small bunch of parsley, chopped""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat the slow cooker to low and heat 2 tbsp oil in a deep frying pan over a medium heat. Season and sear the beef in batches until brown on all sides. Transfer to a plate.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Put the remaining oil in the pan and fry the onions for 10 mins until lightly golden. Add the peppers and garlic, and fry for another 5-10 mins, then stir in the flour and all of the spices. Cook for 2 mins more, then stir in the tomato purée, tomatoes and 400ml beef stock. Season well. Bring the mixture to a simmer, then tip into the slow cooker with the seared beef. Add the remaining stock, if needed, to cover the meat completely. Cover and cook for 6-7 hrs until the beef is tender and the sauce has thickened slightly.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Season to taste, then swirl the soured cream and most of the parsley through the stew. Scatter over the remaining parsley and some sweet smoked paprika, then serve with small roasted potatoes or brown rice, if you like.""}]"
Pear & berry pie,"[{""""ing_group"""":""plain flour , for dusting""},{""""ing_group"""":""300g sweet shortcrust pastry""},{""""ing_group"""":""freshly grated nutmeg""},{""""ing_group"""":""1 egg , beaten""},{""""ing_group"""":""1 tbsp demerara sugar""},{""""ing_group"""":""custard , cream or ice cream, to serve""},{""""ing_group"""":""75g white caster sugar""},{""""ing_group"""":""1 lemon , pared""},{""""ing_group"""":""5 cardamom pods""},{""""ing_group"""":""½ nutmeg""},{""""ing_group"""":""1 cinnamon stick""},{""""ing_group"""":""3 small pears , peeled cored and halved""},{""""ing_group"""":""3-4 small  pears , peeled cored and chopped""},{""""ing_group"""":""75g white caster sugar""},{""""ing_group"""":""2 tsp cornflour""},{""""ing_group"""":""2 tbsp ground almonds""},{""""ing_group"""":""150g berries (we used raspberries and blackberries)""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""To make the poached pears, put the sugar in a big saucepan with the lemon peel, cardamom pods, nutmeg, cinnamon and 1 litre water. Bring to a gentle simmer. Lower the pear halves into the liquid and place a circle of baking parchment on top, so they cook through properly. Leave over a medium heat, so that a few bubbles break the surface every now and then, and cook for 15 mins. Allow to cool in the liquid. Can be chilled overnight if making ahead.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Heat oven to 180C/160C fan/gas 4. Dust the work surface with a little plain flour. Roll out the pastry so it’s big enough to line a 20-23cm frying pan, pie dish or shallow baking tin. Grate a little nutmeg over the surface, then gently roll again to help it stick. Lift over your dish, press into the corners, then trim the edges. You can give it a pretty crimped edge, if you like, then wrap the off-cuts in cling film and keep in the fridge until needed. Scrunch up a sheet of baking parchment, unfold, and lay it over the pastry. Fill with baking beans and bake for 15 mins. Remove the beans and parchment, brush with some of the beaten egg and return to the oven for another 5 mins.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Meanwhile, make the filling. Cook the remaining pears and sugar in a small pan until the pears are soft enough to squash with the back of a spoon. Drain off 3 tbsp of the poaching liquid and mix this with the cornflour, then pour back into the pears and continue cooking and squashing for another minute or so, until the filling has thickened.""},{""""meth_group"""":""STEP 4""},{""""meth_group"""":""Sprinkle the ground almonds over the pastry case, then add the squashed pear mixture and scatter over the berries. Remove the poached pears from their liquid and blot them on some kitchen paper. Arrange them face-up among the pear mixture and berries. Using a mini pastry cutter, cut little shapes from the leftover pastry, then arrange them on top. Brush the pastry pieces with beaten egg and sprinkle with the demerara sugar. Bake for 45-50 mins until the pastry is golden and berry juice is bubbling. Cool for 10-15 mins before serving with custard, cream or ice cream, if you like.""}]"
Doughsant,"[{""""ing_group"""":""125ml milk , at room temperature""},{""""ing_group"""":""2 x 7g sachets dry active yeast""},{""""ing_group"""":""250g plain flour , plus a little for dusting""},{""""ing_group"""":""250g strong white bread flour""},{""""ing_group"""":""60g golden caster sugar""},{""""ing_group"""":""300g unsalted butter , cut into cubes and chilled""},{""""ing_group"""":""vegetable oil""},{""""ing_group"""":""2l vegetable oil""},{""""ing_group"""":""granulated sugar , for dusting""},{""""ing_group"""":""filling of choice (we used lemon curd but jam, dulce de leche or hazelnut chocolate spread works well)""},{""""ing_group"""":""125g icing sugar""},{""""ing_group"""":""choice of edible pearl balls or  sprinkles (we used Dr. Oetker)""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Put the milk, 125ml lukewarm water and yeast in a medium bowl and mix to combine, then set aside. Put the flours, sugar and 1 tsp salt into the bowl of a food processor and pulse to combine. Add the cubed butter and pulse until it’s in small pieces. Alternatively, rub in by hand. This is the important stage: you’re not making a bread or a pastry, so don’t over-process the mixture – you need to see chunks of butter around 1cm in size.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Tip the flour mixture onto the milk mixture. Using a spatula or bread scraper, gently fold the dry mixture into the liquid, trying to moisten everything without making the butter any smaller. Once everything is combined into a rough dough, tip the mixture out onto the work surface and lightly knead together to form a ball. Cover with lightly oiled cling film and pop in the fridge for a couple of hours to rest.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""On a well-floured work surface, roll the dough out into a roughly 20 x 40cm rectangle. Fold in thirds, like a business letter, brushing off any excess flour. Turn the dough through 90 degrees so that the folds are facing you. Repeat the rolling, folding and turning process twice more. Wrap the dough in cling film and chill overnight before using.""},{""""meth_group"""":""STEP 4""},{""""meth_group"""":""Lightly dust the work surface with flour and roll out the dough to a 20 x 45cm rectangle about 0.5cm thick. Using a 9cm cookie cutter, cut out 10 doughsants. Using a 2.5cm cutter, cut out the hole in each. Arrange on a tray, cover with lightly oiled cling film and allow the doughnuts to prove at room temperature until puffed up – around an hour. When ready to fry, fill a large, thick-bottomed saucepan two-thirds full with vegetable oil, place over a medium heat and bring to 170C on a sugar thermometer. Fry the doughsants 1 or 2 at a time, lowering them in with a slotted spoon.""},{""""meth_group"""":""STEP 5""},{""""meth_group"""":""Fry the doughsants for 1-2 mins each side or until deep golden brown (step 8). Using a metal slotted spoon, remove from the pan and place on a wire rack covered with kitchen paper. Once cooled slightly but still warm, roll the edges of the doughsants in granulated sugar, then set aside to cool completely.""},{""""meth_group"""":""STEP 6""},{""""meth_group"""":""To fill, place your filling of choice into a piping bag fitted with a Bismarck tip (a long thin piping tip used for doughnuts) or a small round piping nozzle. From the bottoms, push the tip into the doughsant at north, south, east and west, piping in a little filling. To decorate, add water to the icing sugar 1 tsp at a time and mix until you have a thick paste the consistency of toothpaste. Pipe a ring of icing on each and top with a few edible pearl balls and some sprinkles. Best served within a couple of hours of frying so that they keep their crispness.""}]"
"Coconut, rum & raisin rice pudding","[{""""ing_group"""":""50g butter""},{""""ing_group"""":""150g short-grain pudding rice""},{""""ing_group"""":""150g golden caster sugar""},{""""ing_group"""":""2 x 400ml cans coconut milk""},{""""ing_group"""":""300ml double cream , plus a little extra""},{""""ing_group"""":""1 tsp vanilla extract""},{""""ing_group"""":""150ml spiced rum""},{""""ing_group"""":""100g muscovado sugar""},{""""ing_group"""":""100g raisins""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""For the rum & raisin syrup, tip all the ingredients into a large saucepan and heat gently over a low heat for 5 mins, or until the sugar has dissolved and created a syrup and the raisins have plumped up. Tip into a bowl, cover and set aside.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""In the same saucepan (there’s no need to clean it) melt the butter over a medium heat until sizzling, then scatter over the rice and toast in the hot butter until the butter is just starting to brown. Stir in the sugar, then pour over the coconut milk, cream and vanilla. Bring to a simmer and continue to cook gently for 40-45 mins until the rice is tender, adding a splash more cream if it becomes too thick.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""To serve hot, stir a third of the rum & raisin syrup through the pudding and spoon the rest over the top. To serve cold, leave the pudding to cool, then chill in the fridge to firm up so that you can serve it in scoops with the rum & raisin syrup spooned over.""}]"
"Creamy chicken, squash & pecan pasta","[{""""ing_group"""":""1l chicken stock""},{""""ing_group"""":""½ butternut squash , peeled and chopped into small chunks""},{""""ing_group"""":""2 chicken breasts""},{""""ing_group"""":""400g pasta (we used casarecce)""},{""""ing_group"""":""50g cream cheese""},{""""ing_group"""":""75g pecans , chopped""},{""""ing_group"""":""small pack flat-leaf parsley , chopped""},{""""ing_group"""":""25g parmesan grated, plus extra to serve""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Pour the stock into a pan and bring to a simmer. Add the squash and chicken, cover and bubble gently for 15 mins, or until the chicken and squash are cooked. If the chicken cooks first, remove from the pan, set aside and keep boiling the squash until tender. Scoop the squash out with a slotted spoon, leaving just the stock in the pan.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Bring the stock back to the boil and add the pasta; the liquid should just cover the pasta. Cook, stirring regularly, until the pasta is just tender and most of the stock has been absorbed (top up with water if necessary). Shred the chicken.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""Return the squash to the pan and add the cream cheese, pecans, parsley and parmesan. Simmer for another min or two, then add the chicken. Season and serve with extra parmesan, if you like.""}]"
Next level steak & ale pie,"[{""""ing_group"""":""1 tbsp vegetable oil""},{""""ing_group"""":""100g smoked bacon lardons or smoked bacon, chopped""},{""""ing_group"""":""1kg beef shin, cut into large chunks""},{""""ing_group"""":""2 onions, roughly chopped""},{""""ing_group"""":""3 carrots, peeled and cut into large chunks""},{""""ing_group"""":""3 tbsp plain flour""},{""""ing_group"""":""1 tbsp tomato purée""},{""""ing_group"""":""1 tsp malt or red wine vinegar""},{""""ing_group"""":""1 tsp brown miso paste (optional)""},{""""ing_group"""":""400ml sweet brown ale""},{""""ing_group"""":""600ml beef stock made from 2 stock cubes""},{""""ing_group"""":""few thyme sprigs, stalks and leaves separated""},{""""ing_group"""":""2 bay leaves""},{""""ing_group"""":""700g plain flour, plus extra for dusting""},{""""ing_group"""":""2 tsp English mustard powder""},{""""ing_group"""":""150g lard""},{""""ing_group"""":""150g butter, plus extra for the dish""},{""""ing_group"""":""2 egg yolks, beaten""}]","[{""""meth_group"""":""STEP 1""},{""""meth_group"""":""Heat the oven to 160C/140C fan/gas 3. Heat the vegetable oil in a large casserole dish and gently fry the bacon for 5 mins until lightly browned. Remove with a slotted spoon and set aside. In the same pan, brown the beef well in batches for 5-8 mins, adding a drizzle more oil if you need to, then set aside.""},{""""meth_group"""":""STEP 2""},{""""meth_group"""":""Add the onions and carrots to the pan and cook on a low heat for 5 mins. Stir in the flour, then add the tomato purée, vinegar and miso, if using. Tip the beef and bacon, along with any juices, back into the pan and give it all a good stir. Pour in the ale and stock, and nestle in the thyme stalks and bay. Season generously and bring to a simmer. Cover with a lid and cook in the oven for about 2 hrs or until the meat is really tender. Leave everything to cool slightly, then strain off about half the braising liquid into another container. Leave to cool completely. Can be made up to two days ahead and kept chilled in the fridge – the pie will be better if the filling is fridge-cold when added. Can also be frozen for up to three months.""},{""""meth_group"""":""STEP 3""},{""""meth_group"""":""To make the pastry, mix the flour, mustard powder, lard and butter with a generous pinch of sea salt until completely combined, then gradually add up to 250ml ice-cold water to make a soft dough. This can be done in a food processor if you prefer. Knead the thyme leaves into the pastry, then cover and leave to rest in the fridge for at least 1 hr. Can be made up to two days ahead and kept chilled, or frozen for up to a month.""},{""""meth_group"""":""STEP 4""},{""""meth_group"""":""Heat the oven to 220C/200C fan/gas 7 and put a baking tray in the oven. Heavily butter a 26-28cm pie dish and dust well with flour. Cut off a third of the pastry and set aside. Roll out the remaining pastry to a thick round that will easily line the pie dish with an overhang, then line the tin. Tip in the beef mixture. You want the filling to be slightly higher than the rim of the dish. Brush the edges with egg yolk. Roll out the remaining pastry to a thick round, big enough to cover the pie, then lift onto the pie dish. Trim the edges, crimp together, then re-roll the trimmings and cut into decorative shapes, such as leaves. Brush the top with more yolk. Make a hole in the centre of the pie with a knife, and put it on the hot baking tray.""},{""""meth_group"""":""STEP 5""},{""""meth_group"""":""Bake for 20 mins, remove, brush again with yolk, scatter with sea salt and bake for 20-25 mins until golden. Leave to rest for 10 mins while you heat up the extra gravy.""}]"
