recip,ing_group,meth_group
Stuffed rainbow baguette,"[{""ing_group"":""1 artisan-style baguette""},{""ing_group"":""4 tbsp hummus""},{""ing_group"":""8 slices medium  cheddar""},{""ing_group"":""¼ red pepper , thinly sliced""},{""ing_group"":""¼ cooked beetroot , shredded""},{""ing_group"":""2 radishes , thinly sliced""},{""ing_group"":""1 yellow or orange carrot , shredded or grated""},{""ing_group"":""handful green leaves""},{""ing_group"":""1 tbsp vegetarian pesto , mixed with 1 tbsp olive oil""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Cut the baguette in half so you can open it out like a book. Spread the hummus over the bottom half of the baguette and add the cheese, breaking the slices up if you need to. Scatter the pepper, beetroot, radish and carrot along the baguette, then add the leaves, dribble with the pesto and close the baguette.""},{""meth_group"":""STEP 2""},{""meth_group"":""Wrap the baguette tightly in baking parchment and tie securely with string. Take a bread knife with you so you can slice it when you’re ready to eat it.""}]"
Slow-roasted courgettes with fennel & orzo,"[{""ing_group"":""pinch of saffron""},{""ing_group"":""1⁄2 bulb of fennel , sliced""},{""ing_group"":""100g cherry tomatoes , halved""},{""ing_group"":""1 bay leaf""},{""ing_group"":""2 tbsp olive oil""},{""ing_group"":""pinch of dried chilli flakes""},{""ing_group"":""120ml dry white wine""},{""ing_group"":""4-6 baby to medium-sized courgettes""},{""ing_group"":""1 lemon , zested""},{""ing_group"":""50g sourdough breadcrumbs""},{""ing_group"":""200g orzo""},{""ing_group"":""1 tbsp pine nuts , toasted""},{""ing_group"":""1 tbsp ricotta""},{""ing_group"":""handful of dill""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Put the saffron in a small bowl and cover with 1/2 tbsp of boiling water. Heat oven to 180C/160C fan/gas 4. Put the fennel in a roasting tin with the tomatoes and bay leaf, drizzle over some oil, season and toss together with the chilli flakes. Pour over the wine. Prick the courgettes all over with a fork and place on top of the fennel. Drizzle with a little more oil, then season and cover with foil.""},{""meth_group"":""STEP 2""},{""meth_group"":""Roast for 1 1/2 - 2 hrs, turning the courgettes halfway through, removing the foil for the last 5 mins. The courgettes should be very soft. Lift the courgettes from the pan and set aside.""},{""meth_group"":""STEP 3""},{""meth_group"":""Meanwhile, heat 1 tbsp olive oil in a frying pan over a medium heat. Add half the lemon zest and breadcrumbs, and gently fry until the bread is golden and crunchy. Set aside.""},{""meth_group"":""STEP 4""},{""meth_group"":""Cook the orzo in a pan of boiling water until al dente, then drain. Toss with the fennel, tomatoes, pine nuts, the saffron and its water. Season.""},{""meth_group"":""STEP 5""},{""meth_group"":""Divide the orzo between plates and add half the ricotta to each, drizzle with olive oil and sprinkle with sea salt. Top with the courgettes and scatter over the breadcrumbs, remaining lemon zest and sprigs of dill.""}]"
Chipotle gazpacho,"[{""ing_group"":""1kg ripe tomatoes , roughly chopped""},{""ing_group"":""1 large red pepper , deseeded and roughly chopped""},{""ing_group"":""½ cucumber , sliced""},{""ing_group"":""4 spring onions , finely sliced""},{""ing_group"":""1 small garlic clove , grated""},{""ing_group"":""40g blanched almonds , roughly chopped""},{""ing_group"":""3 limes , juiced""},{""ing_group"":""2 tbsp olive oil""},{""ing_group"":""2 tsp chipotle paste""},{""ing_group"":""1 large, ripe avocado , cubed""},{""ing_group"":""1 small red chilli , deseeded and finely chopped""},{""ing_group"":""½ small bunch coriander , finely chopped""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Put the tomatoes, pepper, cucumber, two of the spring onions, the garlic, half the almonds, half the lime juice, and all the olive oil and chipotle paste into a blender. Whizz until almost smooth. Pour into a jug and chill for at least 2 hrs.""},{""meth_group"":""STEP 2""},{""meth_group"":""When ready to eat, toss the remaining spring onion, avocado, chilli and coriander with the remaining lime juice. Ladle the soup into four bowls and top with the avocado salsa and reserved almonds.""}]"
Smashed cannellini bean tartine,"[{""ing_group"":""400g can cannellini beans , drained and rinsed""},{""ing_group"":""2 tbsp rapeseed oil""},{""ing_group"":""1 large lemon , zested and juiced""},{""ing_group"":""1 small garlic clove , finely grated""},{""ing_group"":""1 small red chilli , deseeded and finely chopped""},{""ing_group"":""1⁄2 small bunch parsley , finely chopped""},{""ing_group"":""8 cherry tomatoes , halved""},{""ing_group"":""2 slices sourdough""},{""ing_group"":""15g feta , crumbled""},{""ing_group"":""50g rocket""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Put the beans, 1 tbsp of the oil, the lemon zest and juice and the garlic in a food processor and blitz to create a chunky texture. Transfer to a bowl and stir through the chilli, parsley and cherry tomatoes.""},{""meth_group"":""STEP 2""},{""meth_group"":""Lightly toast the bread and pile on the cannellini bean smash, scatter over the feta and drizzle with the remaining oil. Serve with the rocket on the side.""}]"
Crab & avocado tostadas,"[{""ing_group"":""1 small  red onion , sliced into thin rings""},{""ing_group"":""juice 2  limes , plus wedges to serve""},{""ing_group"":""pinch of  caster sugar""},{""ing_group"":""170g can white crabmeat in brine, drained""},{""ing_group"":""2 spring onions , finely sliced""},{""ing_group"":""1 red chilli , deseeded and chopped""},{""ing_group"":""1 really ripe avocado , peeled, stoned and chopped""},{""ing_group"":""1 small garlic clove , crushed""},{""ing_group"":""2 corn tortillas""},{""ing_group"":""handful mixed salad leaves""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Put the onion in a bowl and cover with half the lime juice and a good pinch each of sugar and salt. Leave to soften while you get everything else ready.""},{""meth_group"":""STEP 2""},{""meth_group"":""Mix together the crabmeat, spring onions and half the chilli. Season with black pepper and set aside. Mash the avocado with the remaining lime juice, garlic and some seasoning. You can leave it quite chunky or mash it until smooth. Stir in the rest of the chilli.""},{""meth_group"":""STEP 3""},{""meth_group"":""Bend each tortilla in half and toast in a toaster for 1 min. Put on 2 plates and top with the salad leaves, then mashed avocado. Finish with the crabmeat and drained pickled onion. Serve with lime wedges for squeezing over.""}]"
Smashed cannellini bean tartine,"[{""ing_group"":""400g can cannellini beans , drained and rinsed""},{""ing_group"":""2 tbsp rapeseed oil""},{""ing_group"":""1 large lemon , zested and juiced""},{""ing_group"":""1 small garlic clove , finely grated""},{""ing_group"":""1 small red chilli , deseeded and finely chopped""},{""ing_group"":""1⁄2 small bunch parsley , finely chopped""},{""ing_group"":""8 cherry tomatoes , halved""},{""ing_group"":""2 slices sourdough""},{""ing_group"":""15g feta , crumbled""},{""ing_group"":""50g rocket""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Put the beans, 1 tbsp of the oil, the lemon zest and juice and the garlic in a food processor and blitz to create a chunky texture. Transfer to a bowl and stir through the chilli, parsley and cherry tomatoes.""},{""meth_group"":""STEP 2""},{""meth_group"":""Lightly toast the bread and pile on the cannellini bean smash, scatter over the feta and drizzle with the remaining oil. Serve with the rocket on the side.""}]"
Roasted vegetables,"[{""ing_group"":""3 tbsp olive oil""},{""ing_group"":""1 aubergine, cut into chunks""},{""ing_group"":""2 mixed coloured peppers, such as orange and red, cut into chunks""},{""ing_group"":""1 red onion, cut into wedges""},{""ing_group"":""2 courgettes, cut into chunks""},{""ing_group"":""4 garlic cloves, smashed""},{""ing_group"":""3 sprigs of thyme""},{""ing_group"":""200g cherry tomatoes""},{""ing_group"":""handful of basil leaves""},{""ing_group"":""zest of 1 lemon""},{""ing_group"":""50g feta, crumbled""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Heat the oven to 200C/180C Fan/gas 6. Mix the oil with the aubergine, peppers, red onion, courgette, garlic and thyme in a bowl with sea salt and black pepper. Tip into a large roasting tin then roast for 30 mins. Add the tomatoes to the pan and return to the oven for 10 mins.""},{""meth_group"":""STEP 2""},{""meth_group"":""Squeeze the garlic from their skins, remove the thyme then scatter over the basil, lemon zest and crumbled feta.""}]"
Grilled steak salad with horseradish dressing,"[{""ing_group"":""250g/9oz bavette or skirt steak""},{""ing_group"":""1 tsp celery seeds, crushed""},{""ing_group"":""1 tbsp Worcestershire sauce""},{""ing_group"":""little olive oil , for brushing""},{""ing_group"":""6 celery sticks, thinly sliced, leaves reserved""},{""ing_group"":""200g mixed tomato , sliced or halved (beefsteak, plum and red and yellow cherry are all good)""},{""ing_group"":""1 tbsp Worcestershire sauce""},{""ing_group"":""1 tbsp olive oil""},{""ing_group"":""1 tsp horseradish sauce""},{""ing_group"":""1 tsp red wine vinegar""},{""ing_group"":""1 tsp tomato purée""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Rub the steak on both sides with the crushed celery seeds, some seasoning and the Worcestershire sauce. Brush with olive oil and leave to marinate while you prepare the salad.""},{""meth_group"":""STEP 2""},{""meth_group"":""Mix the dressing ingredients in a small bowl. Divide the celery and tomatoes between 2 plates. Heat a griddle pan over a high heat, then cook the meat for 2-3 mins on each side (depending on how thick your steaks are). Remove from the heat and leave to rest, covered with foil, for 5 mins.""},{""meth_group"":""STEP 3""},{""meth_group"":""Slice the steaks and place on top of the salads, pour the dressing over and scatter over the celery leaves.""}]"
"Bean, feta & herb dip","[{""ing_group"":""400g can cannellini bean""},{""ing_group"":""200g feta cheese""},{""ing_group"":""1 tbsp lemon juice""},{""ing_group"":""1 garlic clove , crushed""},{""ing_group"":""3 tbsp chopped dill, mint or  chives (or 1 tbsp each)""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Drain and rinse beans. Tip into a food processor with feta, lemon juice and garlic, and whizz until smooth. Add dill, mint or chives, and season with pepper.""}]"
Summer egg salad with basil & peas,"[{""ing_group"":""150g new potatoes , thickly sliced""},{""ing_group"":""160g French beans , trimmed""},{""ing_group"":""160g frozen peas""},{""ing_group"":""3 eggs""},{""ing_group"":""160g romaine lettuce , roughly torn into pieces""},{""ing_group"":""1 tbsp extra virgin olive oil""},{""ing_group"":""2 tsp cider vinegar""},{""ing_group"":""½ tsp English mustard powder""},{""ing_group"":""2 tbsp chopped mint""},{""ing_group"":""3 tbsp chopped basil""},{""ing_group"":""1 garlic clove , finely grated""},{""ing_group"":""1 tbsp capers""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Cook the potatoes in a pan of simmering water for 5 mins. Add the beans and cook 5 mins more, then tip in the peas and cook for 2 mins until all the vegetables are just tender. Meanwhile, boil the eggs in another pan for 8 mins. Drain and run under cold water, then carefully shell and halve.""},{""meth_group"":""STEP 2""},{""meth_group"":""Mix all the dressing ingredients together in a large bowl with a good grinding of black pepper, crushing the herbs and capers with the back of a spoon to intensify their flavours.""},{""meth_group"":""STEP 3""},{""meth_group"":""Mix the warm vegetables into the dressing to coat, then add the lettuce and toss everything together. Pile onto plates, top with the eggs and grind over some black pepper to serve.""}]"
Peach & orange yogurt pots with ginger oats,"[{""ing_group"":""4 peaches or nectarines, stoned and diced""},{""ing_group"":""1 orange , juiced and zested""},{""ing_group"":""120g porridge oats""},{""ing_group"":""25g pine nuts""},{""ing_group"":""½ tsp ground ginger""},{""ing_group"":""1 tsp ground cinnamon""},{""ing_group"":""2 tbsp sultanas""},{""ing_group"":""4 x 150ml pots bio yogurt""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Put the peaches and orange juice in a small pan. Put the lid on and cook gently for 3-5 mins, depending on their ripeness, until softened. Set aside to cool.""},{""meth_group"":""STEP 2""},{""meth_group"":""Tip the oats and pine nuts into a pan and heat gently, stirring frequently until they’re just starting to toast. Turn off the heat and add the spices, zest and sultanas.""},{""meth_group"":""STEP 3""},{""meth_group"":""Spoon the peaches and juices into four tumblers and top with the yogurt. Cover and chill until needed. Keep the oat mixture in an airtight container. When ready to serve, top the peaches and yogurt with the oat mixture.""}]"
Griddled vegetables with melting aubergines,"[{""ing_group"":""1 large aubergine""},{""ing_group"":""½a  lemon , zested and juiced""},{""ing_group"":""3cloves of garlic , 1 crushed, 2 chopped""},{""ing_group"":""2 tbsp chopped parsley , plus extra to serve""},{""ing_group"":""1 tsp extra virgin olive oil , plus a little for drizzling""},{""ing_group"":""4 tsp omega seed mix (see tip)""},{""ing_group"":""2 tsp thyme leaves""},{""ing_group"":""1 tbsp rapeseed oil""},{""ing_group"":""1 red pepper , deseeded and cut into quarters""},{""ing_group"":""1 large onion , thickly sliced""},{""ing_group"":""2 courgettes , sliced on the angle""},{""ing_group"":""2 large tomatoes , each cut into 3 thick slices""},{""ing_group"":""8 Kalamata olives , halved""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Grill the aubergine, turning frequently, until soft all over and the skin is blistered, about 8-10 mins. Alternatively, if you have a gas hob, cook it directly over the flame. When it is cool enough to handle, remove the skin, finely chop the flesh and mix with the lemon juice, 1 chopped clove garlic, 1 tbsp parsley, 1 tsp extra virgin olive oil and the seeds. Mix the remaining parsley with the remaining chopped garlic and the lemon zest.""},{""meth_group"":""STEP 2""},{""meth_group"":""Meanwhile, mix the thyme, crushed garlic and rapeseed oil and toss with the vegetables, keeping the onions as slices rather than breaking up into rings. Heat a large griddle pan and char the vegetables until tender and marked with lines – the tomatoes will need the least time. Pile onto plates with the aubergine purée and olives, drizzle over a little extra olive oil and scatter with the parsley, lemon zest and garlic.""}]"
Lamb kebab burger,"[{""ing_group"":""2 tbsp fat-free yogurt""},{""ing_group"":""1 tbsp mayonnaise""},{""ing_group"":""1 small  garlic clove , grated""},{""ing_group"":""½ tbsp vegetable oil""},{""ing_group"":""2 lamb burgers""},{""ing_group"":""2 sesame seed burger buns""},{""ing_group"":""1 tomato , sliced""},{""ing_group"":""20g gherkins , sliced""},{""ing_group"":""1 red chilli , finely sliced""},{""ing_group"":""leaves of 1 Baby Gem lettuce""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Combine the yogurt with the mayonnaise and grated garlic in a small bowl. Heat the vegetable oil in a non-stick frying pan over a medium heat, add the lamb burgers and fry for around 10 mins, turning over halfway through, until piping hot in the centre. Lightly toast the burger buns. Divide the sliced tomato, sliced gherkins, the burgers, some garlic sauce, chilli and the lettuce leaves between each burger bun, then enjoy immediately.""}]"
Crab & avocado tostadas,"[{""ing_group"":""1 small  red onion , sliced into thin rings""},{""ing_group"":""juice 2  limes , plus wedges to serve""},{""ing_group"":""pinch of  caster sugar""},{""ing_group"":""170g can white crabmeat in brine, drained""},{""ing_group"":""2 spring onions , finely sliced""},{""ing_group"":""1 red chilli , deseeded and chopped""},{""ing_group"":""1 really ripe avocado , peeled, stoned and chopped""},{""ing_group"":""1 small garlic clove , crushed""},{""ing_group"":""2 corn tortillas""},{""ing_group"":""handful mixed salad leaves""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Put the onion in a bowl and cover with half the lime juice and a good pinch each of sugar and salt. Leave to soften while you get everything else ready.""},{""meth_group"":""STEP 2""},{""meth_group"":""Mix together the crabmeat, spring onions and half the chilli. Season with black pepper and set aside. Mash the avocado with the remaining lime juice, garlic and some seasoning. You can leave it quite chunky or mash it until smooth. Stir in the rest of the chilli.""},{""meth_group"":""STEP 3""},{""meth_group"":""Bend each tortilla in half and toast in a toaster for 1 min. Put on 2 plates and top with the salad leaves, then mashed avocado. Finish with the crabmeat and drained pickled onion. Serve with lime wedges for squeezing over.""}]"
"Korean chilli, sesame & honey chicken","[{""ing_group"":""12 chicken thighs , boneless and skinless""},{""ing_group"":""2 tbsp soy sauce""},{""ing_group"":""1 tbsp sesame oil""},{""ing_group"":""thumb-sized piece ginger , grated""},{""ing_group"":""4 spring onions , sliced""},{""ing_group"":""4 tbsp Korean chilli paste (gochujang) or use a mixture of 3 tbsp ketchup and 1 tbsp sriracha chilli sauce""},{""ing_group"":""2 tbsp honey""},{""ing_group"":""juice ½ lime""},{""ing_group"":""1 tbsp soy sauce""},{""ing_group"":""1 tsp sesame oil""},{""ing_group"":""2 tbsp sesame seeds""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Toss the chicken in the soy sauce, sesame oil and ginger. Thread each thigh on two long metal skewers, so that each skewer pierces one side of the thigh. Keep threading the chicken, making sure it’s packed onto the skewers tightly. Chill until you’re ready to cook. Mix the ingredients for the glaze.""},{""meth_group"":""STEP 2""},{""meth_group"":""Heat the BBQ. If using a coal BBQ, wait for the coals to turn ashen before you start cooking. Cook the kebab for 5-8 mins on each side (depending on the heat). Once nicely charred but not fully cooked through, start painting on the glaze. The honey will catch if cooked for too long – the key to nice sticky chicken is applying the glaze in layers, turning the kebab often.""},{""meth_group"":""STEP 3""},{""meth_group"":""Once the glaze has been used up and the chicken is cooked through (it’ll take about 20 mins in total), transfer to a plate and leave to cool for 5 mins before serving scattered with spring onions.""}]"
Pea mousse,"[{""ing_group"":""120ml double cream""},{""ing_group"":""120ml milk""},{""ing_group"":""3 ⅓ sheets gelatine (the sheets are easy to snap into thirds)""},{""ing_group"":""5 egg yolks (freeze the whites for meringues)""},{""ing_group"":""15g golden caster sugar""},{""ing_group"":""pinch salt""},{""ing_group"":""200g white chocolate , chopped""},{""ing_group"":""60g butter , chopped""},{""ing_group"":""200g frozen petits pois , defrosted""},{""ing_group"":""pea shoots and edible flowers, to decorate""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Put the cream and milk in a pan and heat slowly until almost boiling. Soak the gelatine in cold water until floppy.""},{""meth_group"":""STEP 2""},{""meth_group"":""Put the egg yolks in a bowl with the sugar and whisk together with the salt. Pour the milk mixture over the yolks, then pour the lot back into the pan (give it a wipe first to clean the bottom) and stir the mixture over a low heat until it starts to thicken and make a thin custard. Keep stirring and don’t turn the heat up too high or the eggs might start to cook into clumps.""},{""meth_group"":""STEP 3""},{""meth_group"":""Turn off the heat and stir in the gelatine, chocolate and butter then, once incorporated, stir in the peas. Whizz in a blender until it is as fine as you can get it, then pour it through a sieve into a jug. Either chill in a box or divide the mixture between glasses and chill them. If you’ve chilled the mixture in a box, spoon or pipe it into glasses to serve and decorate with pea shoots and flowers.""}]"
BBQ chorizo potato salad,"[{""ing_group"":""750g new potatoes , halved if large""},{""ing_group"":""4-6 large cooking  chorizo (or 12 small ones)""},{""ing_group"":""150ml soured cream""},{""ing_group"":""3 tbsp mayonnaise""},{""ing_group"":""1 tsp Dijon mustard""},{""ing_group"":""1 celery stalk , finely diced (optional)""},{""ing_group"":""1 tbsp dill , very finely chopped""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Put the potatoes in a pan of cold salted water and bring to the boil. Simmer for 15 mins or until tender and a knife goes in easily. Drain the potatoes and return to the pan, then stand for 5-10 mins to steam-dry. Cut them into bite-sized pieces, season with salt, cover and chill until cold.""},{""meth_group"":""STEP 2""},{""meth_group"":""Heat the barbecue (or heat a griddle pan if cooking indoors). Halve each large chorizo lengthways and put them, cut-side down, on the barbecue (small chorizo can go on whole). Cook, turning once or twice, until they are crisp around the edges and cooked through. Slice the chorizo into pieces.""},{""meth_group"":""STEP 3""},{""meth_group"":""Combine the soured cream, mayonnaise and mustard, then add to the cold potatoes with the celery and dill. Gently fold the potatoes into the dressing, taking care not to break up them too much. Scatter the chorizo on top to serve.""}]"
Strawberry & elderflower gateau,"[{""ing_group"":""2 x 200g sponge flan cases (25cm)""},{""ing_group"":""6 tbsp strawberry jam or conserve""},{""ing_group"":""400g strawberries (look for ones that are a similar size), halved""},{""ing_group"":""600ml double cream""},{""ing_group"":""2 tbsp icing sugar , plus 150g""},{""ing_group"":""5 tbsp elderflower cordial""},{""ing_group"":""5-6 raspberries or some pink food colouring gel""},{""ing_group"":""small handful pistachios (optional), slivered or roughly chopped (see tip)""},{""ing_group"":""strawberry coulis or cream, to serve""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Remove the base of a 20cm loose-bottomed cake tin (make sure it’s a deep one) and use it as a template to cut out a circle from each flan case. Chop the offcuts from the flans into small pieces and set aside. Reassemble the tin and line it with a couple of sheets of cling film, leaving enough overhanging to wrap up once the tin is filled.""},{""meth_group"":""STEP 2""},{""meth_group"":""Put one flan disc in the base of the tin and spread over half the jam. Arrange the strawberries around the outside with the cut surface facing outwards. If you have any particularly large or small strawberries, put them to one side.""},{""meth_group"":""STEP 3""},{""meth_group"":""Whip the cream, 2 tbsp icing sugar and 3 tbsp elderflower cordial together in a bowl until the mixture holds its shape. Chop the reserved strawberries, then fold them into the cream mixture. Use half of the cream to fill the centre of the gateau, spreading right to the edges so it holds the strawberries in place.""},{""meth_group"":""STEP 4""},{""meth_group"":""Push a single layer of the chopped flan offcuts into the cream (you may have some leftovers to nibble on), and drizzle over the remaining elderflower cordial. Stir the remaining jam through the rest of the cream, spread it over the flan pieces, and top with the final piece of flan. Fold over the cling film and give the gateau a gentle press down to compact the layers. Chill while you make the icing. Can be chilled for up to 24 hrs.""},{""meth_group"":""STEP 5""},{""meth_group"":""Crush the raspberries with the back of a fork and stir in the 150g icing sugar to make a thick icing. Add a splash of water if it’s too thick. Alternatively, add enough water to the icing sugar to make a thick icing, then stir in a few drops of pink food colouring.""},{""meth_group"":""STEP 6""},{""meth_group"":""When you’re ready to serve, remove the cake from the tin and discard the cling film, then transfer to a cake stand. Spread the icing right to the edges, then scatter the pistachios in a ring around the top, if using, and serve with a little strawberry coulis or cream on the side, if you like.""}]"
Summer fruit & mascarpone tart,"[{""ing_group"":""2 x 320g ready-rolled all-butter puff pastry""},{""ing_group"":""100g icing sugar""},{""ing_group"":""750g tub mascarpone""},{""ing_group"":""600ml double cream""},{""ing_group"":""2 tsp vanilla extract""},{""ing_group"":""200g raspberries , a few halved""},{""ing_group"":""200g blackberries , a few halved""},{""ing_group"":""1 large mango , peeled and thinly sliced""},{""ing_group"":""6 nectarines or peaches, or a mixture, sliced""},{""ing_group"":""4 passion fruits (look for ones with crinkly skin, this means they’re ripe), halved, seeds and pulp scooped out""},{""ing_group"":""handful small mint leaves""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Heat oven to 200C/180C fan/gas 6. Unroll 1 pastry sheet, but leave it on the parchment. Place it on a baking tray, dust with 2 tbsp icing sugar, then cover with another sheet of parchment and another baking tray. Pour baking beans into the tray to weigh it down, or use empty cans. Bake for 30 mins, then check if the pastry is golden all over. If not, return for another 5 mins or so. Repeat with the other pastry sheet (or cook both together if you have enough trays). Once out of the oven, trim the edges with a large, sharp knife. Leave to cool.""},{""meth_group"":""STEP 2""},{""meth_group"":""Softly whip the mascarpone, cream, vanilla and remaining icing sugar, then transfer half to a disposable piping bag fitted with a 1.5cm round nozzle (or just snip off the corner). Pipe blobs of the mascarpone cream over the surface of one piece of pastry, right up to the edges. Top with half the fruit and dust with a little icing sugar.""},{""meth_group"":""STEP 3""},{""meth_group"":""Top with the second piece of pastry, more mascarpone cream (refilling the bag when you need to), the remaining fruit, a dusting of icing sugar and, finally, some mint leaves. Use a serrated knife to cut through the layers without squashing the whole tart. Best served within an hour or two, but leftovers will keep for up to two days in the fridge.""}]"
Strawberry shortbread ice cream sandwich,"[{""ing_group"":""4 scoops strawberry cheesecake ice cream , softened""},{""ing_group"":""a few fresh strawberries , finely chopped""},{""ing_group"":""8 Viennese whirls (or shortbread biscuits)""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Mix the ice cream with the strawberries and freeze until solid.""},{""meth_group"":""STEP 2""},{""meth_group"":""Sandwich spoonfuls of the ice cream between the biscuits, then eat immediately.""}]"
Coconut chicken noodle salads,"[{""ing_group"":""2 small or 1 large  chicken breast""},{""ing_group"":""3 slices ginger""},{""ing_group"":""1 stalk lemongrass""},{""ing_group"":""400ml coconut milk""},{""ing_group"":""150g egg noodles""},{""ing_group"":""1-2 tbsp peanut butter""},{""ing_group"":""handful green beans , trimmed and cut into lengths""},{""ing_group"":""12 cherry tomatoes , halved""},{""ing_group"":""2 handfuls baby spinach leaves""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Put the chicken, ginger, lemongrass and coconut milk in a pan and bring to a simmer. Add a pinch of salt, then reduce the heat and cook for 10-15 mins until the chicken is cooked through. Cool, then chill until cold.""},{""meth_group"":""STEP 2""},{""meth_group"":""Cook the noodles following pack instructions. Lift the chicken out of the coconut liquid and shred it, then stir the peanut butter into enough of the liquid to make a thick dressing.""},{""meth_group"":""STEP 3""},{""meth_group"":""Divide the noodles between four jars or boxes and spoon over the coconut dressing, or take it with you in a separate jar. Add the beans and tomatoes followed by the chicken and spinach. Seal the lid and chill the jars until you need to pack them. Serve in the jar or, for smaller children tip into bowls.""}]"
Slow-roasted courgettes with fennel & orzo,"[{""ing_group"":""pinch of saffron""},{""ing_group"":""1⁄2 bulb of fennel , sliced""},{""ing_group"":""100g cherry tomatoes , halved""},{""ing_group"":""1 bay leaf""},{""ing_group"":""2 tbsp olive oil""},{""ing_group"":""pinch of dried chilli flakes""},{""ing_group"":""120ml dry white wine""},{""ing_group"":""4-6 baby to medium-sized courgettes""},{""ing_group"":""1 lemon , zested""},{""ing_group"":""50g sourdough breadcrumbs""},{""ing_group"":""200g orzo""},{""ing_group"":""1 tbsp pine nuts , toasted""},{""ing_group"":""1 tbsp ricotta""},{""ing_group"":""handful of dill""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Put the saffron in a small bowl and cover with 1/2 tbsp of boiling water. Heat oven to 180C/160C fan/gas 4. Put the fennel in a roasting tin with the tomatoes and bay leaf, drizzle over some oil, season and toss together with the chilli flakes. Pour over the wine. Prick the courgettes all over with a fork and place on top of the fennel. Drizzle with a little more oil, then season and cover with foil.""},{""meth_group"":""STEP 2""},{""meth_group"":""Roast for 1 1/2 - 2 hrs, turning the courgettes halfway through, removing the foil for the last 5 mins. The courgettes should be very soft. Lift the courgettes from the pan and set aside.""},{""meth_group"":""STEP 3""},{""meth_group"":""Meanwhile, heat 1 tbsp olive oil in a frying pan over a medium heat. Add half the lemon zest and breadcrumbs, and gently fry until the bread is golden and crunchy. Set aside.""},{""meth_group"":""STEP 4""},{""meth_group"":""Cook the orzo in a pan of boiling water until al dente, then drain. Toss with the fennel, tomatoes, pine nuts, the saffron and its water. Season.""},{""meth_group"":""STEP 5""},{""meth_group"":""Divide the orzo between plates and add half the ricotta to each, drizzle with olive oil and sprinkle with sea salt. Top with the courgettes and scatter over the breadcrumbs, remaining lemon zest and sprigs of dill.""}]"
Charred nectarine & prosciutto panzanella,"[{""ing_group"":""3 slices sourdough""},{""ing_group"":""4 tbsp olive oil""},{""ing_group"":""1 tbsp thyme leaves""},{""ing_group"":""1 tbsp capers""},{""ing_group"":""1⁄2 lemon , juiced""},{""ing_group"":""2 tsp Dijon mustard""},{""ing_group"":""4-6 ripe nectarines , halved and stoned""},{""ing_group"":""bunch of basil""},{""ing_group"":""50g sorrel or spinach leaves""},{""ing_group"":""handful of chervil""},{""ing_group"":""handful of tarragon""},{""ing_group"":""2 tbsp ricotta""},{""ing_group"":""100g prosciutto""},{""ing_group"":""handful of roasted hazelnuts , chopped""}]","[{""meth_group"":""STEP 1""},{""meth_group"":""Heat oven to 200C/180C fan/gas 6. Brush the bread with 1 tbsp of the olive oil and scatter over some sea salt and thyme leaves. Roast for 15 mins, turning once, until crispy and golden. Break up into a bowl and toss with the capers.""},{""meth_group"":""STEP 2""},{""meth_group"":""Meanwhile, whisk together the lemon juice, 2 tbsp olive oil, a pinch of salt and the mustard to make a dressing, then pour half over the bread.""},{""meth_group"":""STEP 3""},{""meth_group"":""Heat a grill pan to a high heat and sprinkle in some sea salt. Drizzle the nectarines with the remaining 1 tbsp oil and grill, flesh-side down, until charred. Add to the bowl with the bread, along with the basil, sorrel, chervil and tarragon.""},{""meth_group"":""STEP 4""},{""meth_group"":""Season and toss everything together, then pile onto a serving platter. Top with the ricotta, prosciutto and hazelnuts, and serve with the remaining dressing on the side, if you like.""}]"
